age,male,female
0,234,212
1,267,243
2,289,265
3,312,287
4,334,308
5,345,318
6,323,298
7,298,275
8,267,247
9,234,216
10,189,175
11,156,144
12,134,124
13,123,114
14,145,134
15,234,216
16,389,359
17,567,523
18,823,759
19,1123,1036
20,1456,1343
21,1789,1650
22,2123,1959
23,2456,2266
24,2756,2543
25,2989,2757
26,3145,2901
27,3212,2963
28,3178,2932
29,3045,2809
30,2823,2604
31,2534,2338
32,2201,2030
33,1856,1712
34,1523,1405
35,1223,1128
36,967,892
37,756,697
38,589,543
39,456,421
40,345,318
41,256,236
42,178,164
43,112,103
44,56,52
45,12,11
46,-23,-21
47,-67,-62
48,-112,-103
49,-156,-144
50,-189,-174
51,-212,-196
52,-223,-206
53,-223,-206
54,-212,-196
55,-189,-174
56,-167,-154
57,-145,-134
58,-123,-113
59,-101,-93
60,-78,-72
61,-56,-52
62,-34,-31
63,-23,-21
64,-12,-11
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0

