age,male,female
0,0.00456,0.00378
1,0.00034,0.00028
2,0.00023,0.00019
3,0.00018,0.00015
4,0.00015,0.00013
5,0.00013,0.00011
6,0.00012,0.00010
7,0.00011,0.00009
8,0.00010,0.00009
9,0.00010,0.00008
10,0.00010,0.00008
11,0.00011,0.00008
12,0.00012,0.00009
13,0.00014,0.00010
14,0.00018,0.00011
15,0.00024,0.00012
16,0.00032,0.00014
17,0.00042,0.00016
18,0.00052,0.00018
19,0.00060,0.00020
20,0.00065,0.00021
21,0.00068,0.00022
22,0.00070,0.00023
23,0.00071,0.00024
24,0.00072,0.00025
25,0.00073,0.00026
26,0.00074,0.00027
27,0.00076,0.00028
28,0.00078,0.00030
29,0.00081,0.00032
30,0.00085,0.00035
31,0.00090,0.00038
32,0.00096,0.00042
33,0.00103,0.00046
34,0.00111,0.00051
35,0.00120,0.00057
36,0.00131,0.00064
37,0.00143,0.00072
38,0.00157,0.00081
39,0.00173,0.00091
40,0.00191,0.00102
41,0.00211,0.00115
42,0.00234,0.00129
43,0.00260,0.00145
44,0.00289,0.00163
45,0.00321,0.00183
46,0.00357,0.00205
47,0.00397,0.00230
48,0.00441,0.00258
49,0.00490,0.00289
50,0.00544,0.00323
51,0.00603,0.00361
52,0.00669,0.00403
53,0.00741,0.00450
54,0.00820,0.00501
55,0.00907,0.00558
56,0.01002,0.00621
57,0.01107,0.00690
58,0.01222,0.00766
59,0.01348,0.00850
60,0.01487,0.00942
61,0.01639,0.01043
62,0.01807,0.01154
63,0.01991,0.01277
64,0.02194,0.01412
65,0.02417,0.01561
66,0.02662,0.01726
67,0.02932,0.01908
68,0.03228,0.02109
69,0.03554,0.02331
70,0.03912,0.02576
71,0.04305,0.02847
72,0.04736,0.03147
73,0.05210,0.03478
74,0.05730,0.03843
75,0.06302,0.04247
76,0.06931,0.04694
77,0.07623,0.05188
78,0.08384,0.05735
79,0.09222,0.06340
80,0.10143,0.07009
81,0.11156,0.07750
82,0.12271,0.08569
83,0.13496,0.09475
84,0.14845,0.10476
85,0.16329,0.11582
86,0.17961,0.12803
87,0.19757,0.14151
88,0.21732,0.15638
89,0.23904,0.17280
90,0.26293,0.19090
91,0.28921,0.21085
92,0.31812,0.23284
93,0.34991,0.25705
94,0.38489,0.28372
95,0.42336,0.31310
96,0.46567,0.34545
97,0.51222,0.38108
98,0.56341,0.42032
99,0.61970,0.46354
100,1.00000,1.00000

